 | 277  | Spidops            |  0.05416% | 5547   |  0.147% | 4921   |  0.167% | 
 | 278  | Leafeon            |  0.05402% | 4334   |  0.115% | 3164   |  0.108% | 
 | 279  | Rabsca             |  0.05382% | 4540   |  0.121% | 3052   |  0.104% | 
 | 280  | Froslass           |  0.05213% | 6379   |  0.170% | 5244   |  0.178% | 
 | 281  | Delphox            |  0.05182% | 7417   |  0.197% | 5728   |  0.195% | 
 | 282  | Zarude             |  0.05159% | 2961   |  0.079% | 2271   |  0.077% | 
 | 283  | Dudunsparce        |  0.05075% | 3856   |  0.103% | 2983   |  0.101% | 
 | 284  | Exeggutor          |  0.05074% | 4695   |  0.125% | 3347   |  0.114% | 
 | 285  | Meganium           |  0.05048% | 4662   |  0.124% | 3409   |  0.116% | 
 | 286  | Golem-Alola        |  0.05031% | 4678   |  0.124% | 3729   |  0.127% | 
 | 287  | Primeape           |  0.04999% | 3444   |  0.092% | 2704   |  0.092% | 
 | 288  | Drednaw            |  0.04937% | 2848   |  0.076% | 2078   |  0.071% | 
 | 289  | Toxicroak          |  0.04916% | 5505   |  0.146% | 4087   |  0.139% | 
 | 290  | Carbink            |  0.04836% | 2228   |  0.059% | 1826   |  0.062% | 
 | 291  | Leavanny           |  0.04777% | 3401   |  0.090% | 2816   |  0.096% | 
 | 292  | Trevenant          |  0.04736% | 4432   |  0.118% | 3340   |  0.114% | 
 | 293  | Tatsugiri          |  0.04736% | 3345   |  0.089% | 2586   |  0.088% | 
 | 294  | Raichu-Alola       |  0.04659% | 3995   |  0.106% | 3016   |  0.103% | 
 | 295  | Flamigo            |  0.04646% | 2939   |  0.078% | 2209   |  0.075% | 
 | 296  | Cramorant          |  0.04619% | 4491   |  0.119% | 3668   |  0.125% | 
 | 297  | Cryogonal          |  0.04452% | 4238   |  0.113% | 3209   |  0.109% | 
 | 298  | Regirock           |  0.04388% | 3758   |  0.100% | 2966   |  0.101% | 
 | 299  | Dusclops           |  0.04379% | 5546   |  0.147% | 4115   |  0.140% | 
 | 300  | Regigigas          |  0.04307% | 3707   |  0.099% | 2825   |  0.096% | 
 | 301  | Illumise           |  0.04255% | 1802   |  0.048% | 1533   |  0.052% | 
 | 302  | Dewgong            |  0.04200% | 2764   |  0.073% | 2136   |  0.073% | 
 | 303  | Decidueye          |  0.04163% | 5220   |  0.139% | 3976   |  0.135% | 
 | 304  | Zoroark            |  0.04144% | 4515   |  0.120% | 1956   |  0.067% | 
 | 305  | Tornadus           |  0.04130% | 3179   |  0.085% | 2472   |  0.084% | 
 | 306  | Sandaconda         |  0.04082% | 2600   |  0.069% | 2180   |  0.074% | 
 | 307  | Oricorio-Pom-Pom   |  0.04004% | 2630   |  0.070% | 1906   |  0.065% | 
 | 308  | Coalossal          |  0.03983% | 2753   |  0.073% | 2141   |  0.073% | 
 | 309  | Lycanroc           |  0.03778% | 3083   |  0.082% | 2416   |  0.082% | 
 | 310  | Scyther            |  0.03655% | 4653   |  0.124% | 3530   |  0.120% | 
 | 311  | Veluza             |  0.03636% | 2664   |  0.071% | 2081   |  0.071% | 
 | 312  | Dodrio             |  0.03604% | 4880   |  0.130% | 3555   |  0.121% | 
 | 313  | Dachsbun           |  0.03503% | 2676   |  0.071% | 1992   |  0.068% | 
